,Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Organization Name Modified,id,name modified,url,stagename_x,stagename_y,Analise descarte,Classification,Time Since Announced
58,Smartbreeder,https://www.crunchbase.com/organization/smartbreeder,Venture Round - Smartbreeder,https://www.crunchbase.com/funding_round/smartbreeder-series-unknown--ce8cca10,20000000.0,BRL,4408730.0,Venture - Series Unknown,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Predictive Analytics, Sustainability",2024-05-01,EcoEnterprises Fund,EcoEnterprises Fund,,15000000.0,BRL,2886892.0,,,,Yes,Smartbreeder is a digital agronomic intelligence company that promotes sustainable agriculture.,,smartbreeder.com.br,Less than $1M,,2,"Piracicaba, Sao Paulo, Brazil, South America",2024,smartbreeder,23967.0,smartbreeder,smartbreeder.com.br,Fazer Teste de Aderência,Fazer Teste de Aderência,,Nao tivemos acesso,91
59,Qinv,https://www.crunchbase.com/organization/qinv,Seed Round - Qinv,https://www.crunchbase.com/funding_round/qinv-seed--88013806,,,,Seed,"Artificial Intelligence (AI), Financial Services, FinTech, Mobile Apps, Trading Platform, Web3",2024-05-01,,,Seed,,,,9000000.0,USD,9000000.0,Yes,QINV is a platform that uses AI and Machine Learning to invest in the market.,,qinv.com.br,,Seed,1,"Nova Lima, Minas Gerais, Brazil, South America",2024,qinv,,,,Nao tivemos acesso,,,Nao tivemos acesso,91
60,Yuna,https://www.crunchbase.com/organization/yuna-0134,Pre Seed Round - Yuna,https://www.crunchbase.com/funding_round/yuna-0134-pre-seed--97f9cce0,1600000.0,USD,1600000.0,Pre-Seed,"Artificial Intelligence (AI), Books, Media and Entertainment",2024-04-29,Canary,"Canary, Positive Ventures",Seed,1600000.0,USD,1600000.0,11000000.0,USD,11000000.0,Yes,"Yuna develops an AI-driven platform that provides personalized, interactive, and free children's stories.",,yunastories.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,yuna,,,,Nao tivemos acesso,,,Nao tivemos acesso,93
61,Unico AI,https://www.crunchbase.com/organization/unico-ai,Series A - Unico AI,https://www.crunchbase.com/funding_round/unico-ai-series-a--41cf966b,103000.0,USD,103000.0,Series A,Software,2024-04-28,Vanish,Vanish,Early Stage Venture,103000.0,USD,103000.0,,,,Yes,Unico AI is a revolutionary company offering a complete solution for all your digital creation needs.,,unicoai.tech,,Early Stage Venture,3,"Conceição De Jacareí, Rio de Janeiro, Brazil, South America",2024,unicoai,,,,Nao tivemos acesso,,,Nao tivemos acesso,94
62,Raiar Organicos,https://www.crunchbase.com/organization/raiar-organicos,Angel Round - Raiar Organicos,https://www.crunchbase.com/funding_round/raiar-organicos-angel--ab9a9f00,50000000.0,BRL,9689735.0,Angel,Food and Beverage,2024-04-25,Pelerson Penido Dalla Vecchia,"Ciro Echesortu, Fábio Barbosa, Otavio Castello Branco, Pelerson Penido Dalla Vecchia",Seed,50000000.0,BRL,9689735.0,,,,Yes,Raiar Organicos is an organic protein producer that begins its history with the most democratic food in the world - the egg.,,raiarorganicos.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,raiarorganicos,,,,Nao tivemos acesso,,,Nao tivemos acesso,97
63,QI Tech,https://www.crunchbase.com/organization/qi-tech,Series B - QI Tech,https://www.crunchbase.com/funding_round/qi-tech-series-b--7c4693fe,260562408.0,USD,260562408.0,Series B,"Credit, Finance, Financial Services, FinTech",2024-04-25,General Atlantic,"Across Capital, General Atlantic",Early Stage Venture,,,,,,,Yes,QI Tech is a fintech platform that provides APIs enabling businesses to offer financial products to their customers.,,qitech.com.br,$10M to $50M,Early Stage Venture,5,"São Paulo, Sao Paulo, Brazil, South America",2024,qitech,3887.0,qitech,qitech.work,Discard,Discard,Falso Negativo,Falso Negativo,97
64,Vixtra,https://www.crunchbase.com/organization/vixtra,Seed Round - Vixtra,https://www.crunchbase.com/funding_round/vixtra-seed--a62ca8b7,50291730.0,USD,50291730.0,Seed,"B2B, Financial Services, Payments",2024-04-24,"NXTP Ventures, Valor Capital Group","Actyus, NXTP Ventures, QED Investors, Scale-Up Ventures, Valor Capital Group",Seed,30000000.0,BRL,5828638.0,,,,Yes,Vixtra is a payment method and credit provider for Latin American importers to buy from international suppliers.,,vixtra.com,$10M to $50M,Seed,5,"São Paulo, Sao Paulo, Brazil, South America",2024,vixtra,21403.0,vixtra,vixtra.com,Zero,Zero,,Nao tivemos acesso,98
65,Vixtra,https://www.crunchbase.com/organization/vixtra,Debt Financing - Vixtra,https://www.crunchbase.com/funding_round/vixtra-debt-financing--edff07f0,50291730.0,USD,50291730.0,Debt Financing,"B2B, Financial Services, Payments",2024-04-24,,"Capitania Investimentos, Contea Capital, Saison International, Verde Asset Management",,150000000.0,BRL,29143190.0,,,,No,Vixtra is a payment method and credit provider for Latin American importers to buy from international suppliers.,,vixtra.com,$10M to $50M,Seed,5,"São Paulo, Sao Paulo, Brazil, South America",2024,vixtra,21403.0,vixtra,vixtra.com,Zero,Zero,,Nao tivemos acesso,98
66,Zoppy,https://www.crunchbase.com/organization/zoppy,Corporate Round - Zoppy,https://www.crunchbase.com/funding_round/zoppy-corporate-round--4fd4fff6,2900000.0,BRL,563435.0,Corporate Round,"Sales, Sales Automation",2024-04-24,Méliuz,Méliuz,,2900000.0,BRL,563435.0,12048453.0,BRL,2340869.0,Yes,Zoppy offers tools for analyzing customers data and helps to manage post-sales actions.,,zoppy.com.br,,,1,"Uberlândia, Minas Gerais, Brazil, South America",2024,zoppy,24958.0,zoppy,zoppy.com.br,Fazer Teste de Aderência,,,Nao tivemos acesso,98
67,Ecotrace,https://www.crunchbase.com/organization/ecotrace,Equity Crowdfunding - Ecotrace,https://www.crunchbase.com/funding_round/ecotrace-equity-crowdfunding--3af69572,1618449.0,USD,1618449.0,Equity Crowdfunding,"Agriculture, AgTech, B2B, B2C, Blockchain, Developer APIs, Internet of Things, Machine Learning, Software",2024-04-24,,,,2496441.0,BRL,485028.0,,,,Yes,"Blockchain-based end-to-end commodities traceability platform, ensuring more transparency, safety, and sustainability in the value chain.",,ecotrace.info,$1M to $10M,,4,"Vinhedo, Sao Paulo, Brazil, South America",2024,ecotrace,20003.0,ecotrace,ecotrace.info,Opportunity,Opportunity,,Dúvida,98
68,Beconfident,https://www.crunchbase.com/organization/beconfident-d6a1,Pre Seed Round - Beconfident,https://www.crunchbase.com/funding_round/beconfident-d6a1-pre-seed--2b1c1dbc,500000.0,USD,500000.0,Pre-Seed,Language Learning,2024-04-23,Latitud,"Andre Penha, Benjamin Gleason, David Gobaud, Doug Scherrer, Latitud, Manoel Lemos, Mario Augusto Sá, Matheus Goyas, Parker Treacy, Rodrigo Salvador, Rodrigo Terron",Seed,500000.0,USD,500000.0,7500000.0,USD,7500000.0,Yes,Practice English with AI on WhatsApp and video-calling,,beconfident.app,,Seed,1,"Cerqueira César, Sao Paulo, Brazil, South America",2024,beconfident,,,,Nao tivemos acesso,,,Nao tivemos acesso,99
69,LiveMode,https://www.crunchbase.com/organization/livemode,Private Equity Round - LiveMode,https://www.crunchbase.com/funding_round/livemode-private-equity--ec6fd587,,,,Private Equity,"Broadcasting, Media and Entertainment, Sports",2024-04-23,General Atlantic,"General Atlantic, XP",Private Equity,,,,,,,Yes,LiveMode works with sports entities to maximize digital presence and develop profitable business models with social and streaming platforms.,,livemode.net,,Private Equity,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2024,livemode,1268.0,livemode,livemode.net,Discard,,Dúvida,Dúvida,99
70,Zig,https://www.crunchbase.com/organization/zig-ade4,Series B - Zig,https://www.crunchbase.com/funding_round/zig-ade4-series-b--26063e60,22500000.0,USD,22500000.0,Series B,Digital Entertainment,2024-04-23,Across Capital,"Across Capital, Cloud9 Capital, Endeavor Catalyst, Scale-Up Ventures",Early Stage Venture,22500000.0,USD,22500000.0,,,,Yes,Zig is the first funtech in the technology market for live entertainment with worldwide operations.,,zig.fun,,Early Stage Venture,1,"São Paulo, Sao Paulo, Brazil, South America",2024,zig,,,,Nao tivemos acesso,,,Nao tivemos acesso,99
71,Argilando,https://www.crunchbase.com/organization/argilando,Grant - Argilando,https://www.crunchbase.com/funding_round/argilando-grant--8e738cae,500000.0,USD,500000.0,Grant,"Non Profit, Service Industry, Social Network",2024-04-23,HCLTech Grant Americas,HCLTech Grant Americas,,500000.0,USD,500000.0,,,,No,"Argilando promotes volunteering and supports projects, institutions, companies, to transform social demands into solidarity opportunities.",,argilando.org.br,,,1,"Vila Isabel, Rio de Janeiro, Brazil, South America",2024,argilando,,,,Nao tivemos acesso,,,Nao tivemos acesso,99
72,HIT Humanity in Transformation,https://www.crunchbase.com/organization/hit-humanity-in-transformation,Pre Seed Round - HIT Humanity in Transformation,https://www.crunchbase.com/funding_round/hit-humanity-in-transformation-pre-seed--c54aa432,,,,Pre-Seed,"Apps, Information Technology, Marketplace, mHealth, Mobile Apps, Software, Wellness",2024-04-20,,,Seed,,,,,,,Yes,"The biggest Holistic Therapies app with a complete ecosystem where companies, therapists and clients find benefits for body, mind and soul.",,hitapp.com.br,,Seed,1,"Jundiaí, Sao Paulo, Brazil, South America",2024,hithumanityintransformation,,,,Nao tivemos acesso,,,Nao tivemos acesso,102
73,Turbi,https://www.crunchbase.com/organization/turbi-car-on-demand,Venture Round - Turbi,https://www.crunchbase.com/funding_round/turbi-car-on-demand-series-unknown--5bc144e6,112162229.0,USD,112162229.0,Venture - Series Unknown,"Automotive, Car Sharing, Mobile",2024-04-19,DOMO.VC,"Carbyne Investimentos, DOMO.VC, REAG Investimentos",,8500000.0,USD,8500000.0,,,,Yes,"Turbi is a digital shared mobility company that makes car rental experience practical, cheaper and unique",,turbi.com.br,$1M to $10M,,8,"São Paulo, Sao Paulo, Brazil, South America",2024,turbi,479.0,turbi,turbi.com.br,Portfolio,Portfolio,,Portfolio,103
74,Hiperbanco,https://www.crunchbase.com/organization/hiperbanco,Pre Seed Round - Hiperbanco,https://www.crunchbase.com/funding_round/hiperbanco-pre-seed--160b679f,1000000.0,BRL,192849.0,Pre-Seed,,2024-04-15,Bossanova Investimentos,Bossanova Investimentos,Seed,1000000.0,BRL,192849.0,,,,Yes,Hiperbanco is a Fintech that offers various financial services,,hiperbanco.com.br,,Seed,1,"Salvador, Sao Paulo, Brazil, South America",2024,hiperbanco,23451.0,hiperbanco,hiperbanco.com.br,Zero,,,Em análise,107
75,EmpreX,https://www.crunchbase.com/organization/emprex,Debt Financing - EmpreX,https://www.crunchbase.com/funding_round/emprex-debt-financing--8126b80f,51000000.0,BRL,10024645.0,Debt Financing,"Finance, FinTech",2024-04-12,,SRM Asset,,40000000.0,BRL,7814789.0,,,,No,Brazil's First Open Finance Consumer Solutions Platform,,emprex.com.br,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,emprex,23253.0,emprex,emprex.com.br,Opportunity,Opportunity,,Em análise,110
76,SenseUp,https://www.crunchbase.com/organization/senseup,Seed Round - SenseUp,https://www.crunchbase.com/funding_round/senseup-seed--beb5fe82,,,,Seed,"Data Integration, PaaS, Robotic Process Automation (RPA)",2024-04-12,Bossanova Investimentos,Bossanova Investimentos,Seed,,,,,,,Yes,"SenseUp offers SenseUp Hub, a low-code iPaaS for seamless system integration, available as cloud-managed or self-hosted solutions",,senseup.tech,Less than $1M,Seed,2,"Vitória, Piaui, Brazil, South America",2024,senseup,21854.0,senseup,senseup.tech,Fazer Teste de Aderência,Fazer Teste de Aderência,,Nao tivemos acesso,110
77,Gryfo,https://www.crunchbase.com/organization/gryfo,Pre Seed Round - Gryfo,https://www.crunchbase.com/funding_round/gryfo-pre-seed--0eb82ba3,300000.0,USD,300000.0,Pre-Seed,"Artificial Intelligence (AI), Information Technology, Software",2024-04-12,,FEA Angels,Seed,,,,,,,Yes,Mobile and offline facial recognition platform,,gryfo.com.br,Less than $1M,Seed,2,"São Carlos Do Pinhal, Sao Paulo, Brazil, South America",2024,gryfo,10975.0,gryfo,gryfo.com.br,Discard,Discard,,Indefinido,110
78,Gryfo,https://www.crunchbase.com/organization/gryfo,Pre Seed Round - Gryfo,https://www.crunchbase.com/funding_round/gryfo-pre-seed--0eb82ba3,300000.0,USD,300000.0,Pre-Seed,"Artificial Intelligence (AI), Information Technology, Software",2024-04-12,,FEA Angels,Seed,,,,,,,Yes,Mobile and offline facial recognition platform,,gryfo.com.br,Less than $1M,Seed,2,"São Carlos Do Pinhal, Sao Paulo, Brazil, South America",2024,gryfo,25446.0,gryfo,gryfo.com.br,Zero,Discard,,Em análise,110
79,Hablla,https://www.crunchbase.com/organization/hablla,Seed Round - Hablla,https://www.crunchbase.com/funding_round/hablla-seed--0d0e28cc,850000.0,BRL,166064.0,Seed,"CRM, Data Integration, Email Marketing, Marketing, SaaS, SMS, Software",2024-04-12,,,Seed,850000.0,BRL,166064.0,14000000.0,BRL,2735176.0,Yes,Omnichannel Saas with CRM and integration,,hablla.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,hablla,,,,Nao tivemos acesso,,,Nao tivemos acesso,110
80,Pipo Saúde,https://www.crunchbase.com/organization/pipo-saúde,Venture Round - Pipo Saúde,https://www.crunchbase.com/funding_round/pipo-saúde-series-unknown--f2206136,24600000.0,USD,24600000.0,Venture - Series Unknown,Health Care,2024-04-11,,"FJ Labs, Scale-Up Ventures",,,,,,,,Yes,We are a platform that sells and manages healthcare benefits (from your healthcare plan to your fitness benefit).,,piposaude.com.br,$1M to $10M,,4,"São Paulo, Sao Paulo, Brazil, South America",2024,piposaúde,16668.0,piposaúde,piposaude.com.br,Registered,Registered,,Nao tivemos acesso,111
81,goFlux,https://www.crunchbase.com/organization/goflux,Series A - goFlux,https://www.crunchbase.com/funding_round/goflux-series-a--181b86ef,10570079.0,USD,10570079.0,Series A,"Compliance, GreenTech, Information Technology, SaaS, Supply Chain Management",2024-04-10,Capria Ventures,"Arrebol Capital, Blue Impact, Capria Ventures, Reflect Ventures, SP Ventures, The Yield Lab LATAM",Early Stage Venture,30000000.0,BRL,5920079.0,,,,Yes,GoFlux is a SAAS platform that allows companies to connect to service providers such as carriers and logistics operators.,,goflux.com.br,,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2024,goflux,4364.0,goflux,goflux.com.br,Opportunity,Opportunity,,Falso Negativo,112
82,Recicli,https://www.crunchbase.com/organization/recicli,Seed Round - Recicli,https://www.crunchbase.com/funding_round/recicli-seed--feb71bc9,25000.0,BRL,4933.0,Seed,,2024-04-10,,FEA Angels,Seed,25000.0,BRL,4933.0,17000000.0,BRL,3354711.0,Yes,Recicli is a startup that operates in innovations and sustainability segments.,,recicli.com.br,,Seed,1,"Aracaju, Sergipe, Brazil, South America",2024,recicli,9901.0,recicli,recicli.com.br,Zero,,,Em análise,112
83,Hamaday Technology,https://www.crunchbase.com/organization/hamaday-technology,Series A - Hamaday Technology,https://www.crunchbase.com/funding_round/hamaday-technology-series-a--a597af0a,55000.0,USD,55000.0,Series A,"Cloud Data Services, Information Services, Information Technology",2024-04-10,WK Venture Capital,WK Venture Capital,Early Stage Venture,55000.0,USD,55000.0,500000.0,USD,500000.0,Yes,Hamaday Technology is an intelligent solution that facilitates access to the cloud.,,hamadaytecnologia.com,,Early Stage Venture,1,"São Paulo, Sao Paulo, Brazil, South America",2024,hamadaytechnology,,,,Nao tivemos acesso,,,Nao tivemos acesso,112
90,Daktus Health,https://www.crunchbase.com/organization/daktus-health,Pre Seed Round - Daktus Health,https://www.crunchbase.com/funding_round/daktus-health-pre-seed--e36584f5,400000.0,BRL,79597.0,Pre-Seed,"Health Care, Hospital",2024-04-08,WOW Aceleradora,WOW Aceleradora,Seed,400000.0,BRL,79597.0,,,,Yes,"Daktus Health reduces waste and improves health care for operators, hospitals, and clinic networks.",,daktus.com.br,,Seed,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2024,daktushealth,,,,Nao tivemos acesso,,,Nao tivemos acesso,114
91,Ada,https://www.crunchbase.com/organization/let-s-code,Seed Round - Ada,https://www.crunchbase.com/funding_round/let-s-code-seed--6b1b244c,,,,Seed,"Corporate Training, EdTech, Information Technology, Software",2024-04-05,Wayra Brasil,"QMS Capital Management, Wayra Brasil",Seed,,,,,,,Yes,"Ada is a tech-enabled education company in Brazil. Cost-free for students and effective for companies, with a 96% completion rate.",,ada.tech,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,ada,17193.0,ada,ada.tech,Discard,,Indefinido,Indefinido,117
92,Mercado Único,https://www.crunchbase.com/organization/mercado-único,Pre Seed Round - Mercado Único,https://www.crunchbase.com/funding_round/mercado-único-pre-seed--7d553b23,395000.0,USD,395000.0,Pre-Seed,"B2B, Consumer Goods, Sales, Web Development",2024-04-04,Techstars,"STRIVE, Techstars",Seed,395000.0,USD,395000.0,,,,Yes,Mercado Único is a B2B platform for the distribution and management of opportunistic sales of Consumer Goods.,,mercadounico.tech,,Seed,1,"Brasília, Rio Grande do Norte, Brazil, South America",2024,mercadoúnico,25503.0,mercadoúnico,,Opportunity,,,Em análise,118
93,Akad Seguros,https://www.crunchbase.com/organization/akad-seguros,Series A - Akad Seguros,https://www.crunchbase.com/funding_round/akad-seguros-series-a--4f5eab02,22500000.0,USD,22500000.0,Series A,"Commercial Insurance, Information Technology, InsurTech",2024-04-03,"Across Capital, Valor Capital Group","Across Capital, Actyus, Endeavor Catalyst, Scale-Up Ventures, Valor Capital Group",Early Stage Venture,22500000.0,USD,22500000.0,,,,Yes,"Akad offers business insurance solutions that are simple, fair and personalized",,akadseguros.com.br,$1M to $10M,Early Stage Venture,1,"São Paulo, Sao Paulo, Brazil, South America",2024,akadseguros,,,,Nao tivemos acesso,,,Nao tivemos acesso,119
95,Koin,https://www.crunchbase.com/organization/koin,Debt Financing - Koin,https://www.crunchbase.com/funding_round/koin-debt-financing--762ed9a8,12200000.0,USD,12200000.0,Debt Financing,"E-Commerce, Finance, Financial Services, FinTech, Fraud Detection, Internet, Online Portals, Payments",2024-04-03,Banco Itau,Banco Itau,,7300000.0,USD,7300000.0,,,,No,"Koin is a fintech company focused on Digital Payments, being pioneer in BNPL in LatAm",,koin.com.br,$1M to $10M,M&A,2,"São Paulo, Sao Paulo, Brazil, South America",2024,koin,4131.0,koin,koin.com.br,Discard,Discard,Não tivemos acesso,Nao tivemos acesso,119
96,Palenca,https://www.crunchbase.com/organization/palenca,Seed Round - Palenca,https://www.crunchbase.com/funding_round/palenca-seed--c3729941,2625000.0,USD,2625000.0,Seed,"Big Data, Computer, Software",2024-04-01,Experian Ventures,Experian Ventures,Seed,,,,,,,Yes,Payroll API for LatAm,,palenca.com,,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2024,palenca,25499.0,palenca,palenca.com,Registered,,,Nao tivemos acesso,121
98,Aeco Tecnologia Financeira,https://www.crunchbase.com/organization/aeco-securitizadora,Seed Round - Aeco Tecnologia Financeira,https://www.crunchbase.com/funding_round/aeco-securitizadora-seed--8ba88435,900000.0,BRL,181321.0,Seed,Finance,2024-04-01,,Eureka,Seed,400000.0,BRL,79128.0,4000000.0,BRL,791280.0,Yes,Aeco Tecnologia Financeira is a Fintech investment arm of AECO SECURITIZADORA S.A.,,aecotecnologia.com.br,,Seed,2,"Maringá, Parana, Brazil, South America",2024,aecotecnologiafinanceira,,,,Nao tivemos acesso,,,Nao tivemos acesso,121
99,Caveo,https://www.crunchbase.com/organization/caveo-e244,Pre Seed Round - Caveo,https://www.crunchbase.com/funding_round/caveo-e244-pre-seed--151c518a,,,,Pre-Seed,"Accounting, Financial Services, FinTech, Health Care",2024-04-01,,,Seed,,,,,,,Yes,Caveo is a digital platform that specializes in financial and accounting solutions for doctors.,,caveo.com.br,,Seed,1,"Vila Olímpia, Sao Paulo, Brazil, South America",2024,caveo,24942.0,caveo,caveo.com.br,Discard,,Indefinido,Indefinido,121
100,Advocacia.bio,https://www.crunchbase.com/organization/advocacia-bio,Seed Round - Advocacia.bio,https://www.crunchbase.com/funding_round/advocacia-bio-seed--625f3216,700000.0,BRL,139576.0,Seed,"Artificial Intelligence (AI), Digital Marketing, Machine Learning",2024-03-30,,,Seed,700000.0,BRL,139576.0,,,,Yes,"Advocacia.bio is a SaaS platform for website creation tailored for lawyers, using artificial intelligence.",,advocacia.bio,,Seed,1,"São José Dos Campos, Sao Paulo, Brazil, South America",2024,advocacia.bio,,,,Nao tivemos acesso,,,Nao tivemos acesso,123
101,Payby,https://www.crunchbase.com/organization/payby-d8ef,Pre Seed Round - Payby,https://www.crunchbase.com/funding_round/payby-d8ef-pre-seed--25950c6b,300000.0,BRL,59818.0,Pre-Seed,,2024-03-29,WOW Aceleradora,WOW Aceleradora,Seed,300000.0,BRL,59818.0,,,,Yes,"O parceiro do restaurante para sua transformação digital: pagamentos, dados e muito mais.",,payby.com.br,,Seed,1,"Salvador, Sao Paulo, Brazil, South America",2024,payby,21460.0,payby,payby.com.br,Discard,,Indefinido,Indefinido,124
102,Advolve AI,https://www.crunchbase.com/organization/advolve-ai,Pre Seed Round - Advolve AI,https://www.crunchbase.com/funding_round/advolve-ai-pre-seed--42d8b0d6,1500000.0,USD,1500000.0,Pre-Seed,"Advertising, Artificial Intelligence (AI)",2024-03-28,"Lanx Capital, Valor Capital Group","Felipe Oliva, Guilherme Rodrigues, Hugh Strange, Kiki Simonsen, Lanx Capital, Marcelo Coelho Vasconcellos, Marcelo Ferronato, Mira Capital, Ozden Onder, Roberto Grosman, Valor Capital Group, Veredas Partners, VERVE CAPITAL",Seed,1500000.0,USD,1500000.0,,,,Yes,AI-driven adtech startup that collect data to from public databases and private historical performance from our client’s ad history,,advolve.ai,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,advolveai,26049.0,advolveai,advolve.ai,Opportunity,,,Nao tivemos acesso,125
103,Delend,https://www.crunchbase.com/organization/delend,Seed Round - Delend,https://www.crunchbase.com/funding_round/delend-seed--130592b5,19968500.0,USD,19968500.0,Seed,"Financial Services, FinTech, SaaS",2024-03-28,Airborne Ventures,"2TM, a16z Scout Fund, Airborne Ventures",Seed,50000000.0,BRL,9968500.0,,,,Yes,Delend develops an open finance portal for small and midsize enterprises.,,delend.finance,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,delend,22642.0,delend,,Discard,,Não tivemos acesso,Nao tivemos acesso,125
104,Delend,https://www.crunchbase.com/organization/delend,Seed Round - Delend,https://www.crunchbase.com/funding_round/delend-seed--130592b5,19968500.0,USD,19968500.0,Seed,"Financial Services, FinTech, SaaS",2024-03-28,Airborne Ventures,"2TM, a16z Scout Fund, Airborne Ventures",Seed,50000000.0,BRL,9968500.0,,,,Yes,Delend develops an open finance portal for small and midsize enterprises.,,delend.finance,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,delend,22642.0,delend,,Discard,,Não tivemos acesso,Nao tivemos acesso,125
105,Delend,https://www.crunchbase.com/organization/delend,Seed Round - Delend,https://www.crunchbase.com/funding_round/delend-seed--4ceede88,19968500.0,USD,19968500.0,Seed,"Financial Services, FinTech, SaaS",2024-03-28,,,Seed,10000000.0,USD,10000000.0,,,,Yes,Delend develops an open finance portal for small and midsize enterprises.,,delend.finance,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,delend,22642.0,delend,,Discard,,Não tivemos acesso,Nao tivemos acesso,125
106,Delend,https://www.crunchbase.com/organization/delend,Seed Round - Delend,https://www.crunchbase.com/funding_round/delend-seed--4ceede88,19968500.0,USD,19968500.0,Seed,"Financial Services, FinTech, SaaS",2024-03-28,,,Seed,10000000.0,USD,10000000.0,,,,Yes,Delend develops an open finance portal for small and midsize enterprises.,,delend.finance,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,delend,22642.0,delend,,Discard,,Não tivemos acesso,Nao tivemos acesso,125
107,HubLocal,https://www.crunchbase.com/organization/hublocal,Venture Round - HubLocal,https://www.crunchbase.com/funding_round/hublocal-series-unknown--3e3e1a94,6400000.0,BRL,1223250.0,Venture - Series Unknown,"Information Technology, Internet, Software",2024-03-27,"Bossanova Investimentos, Gvangels","Américo Pereira Filho, Bossanova Investimentos, Eduardo Gouveia, Gvangels, Yves Nogueira",,3500000.0,BRL,701136.0,,,,Yes,HubLocal provides solution for local businesses to be found on the internet.,,hublocal.com.br,$1M to $10M,,4,"Ceará, Ceara, Brazil, South America",2024,hublocal,10520.0,hublocal,hublocal.com.br,Discard,Discard,,Indefinido,126
108,umgrauemeio,https://www.crunchbase.com/organization/sintecsys,Venture Round - umgrauemeio,https://www.crunchbase.com/funding_round/sintecsys-series-unknown--ce746e20,5288656.0,USD,5288656.0,Venture - Series Unknown,"Carbon Capture, Environmental Engineering, Forestry",2024-03-26,,"Baraúna Venture Capital, Indicator Capital, Rural Ventures, The Yield Lab LATAM",,3600000.0,USD,3600000.0,,,,Yes,"Umgrauemeio developed Pantera, a fire management platform to translate the foundations of fire fighting into tech solutions.",,umgrauemeio.com,$1M to $10M,,4,"Jundiaí, Sao Paulo, Brazil, South America",2024,umgrauemeio,23742.0,umgrauemeio,umgrauemeio.com,Zero,Zero,,Dúvida,127
109,The Instituto Lado a Lado pela Vida,https://www.crunchbase.com/organization/the-instituto-lado-a-lado-pela-vida,Grant - The Instituto Lado a Lado pela Vida,https://www.crunchbase.com/funding_round/the-instituto-lado-a-lado-pela-vida-grant--d23f9a58,,,,Grant,,2024-03-26,Bristol-Myers Squibb,Bristol-Myers Squibb,,,,,,,,No,The Instituto Lado a Lado pela Vida mission is to provide awareness and engage society,,ladoaladopelavida.org.br,,,1,"São Paulo, Sao Paulo, Brazil, South America",2024,theinstitutoladoaladopelavida,,,,Nao tivemos acesso,,,Nao tivemos acesso,127
111,Innvo Labs,https://www.crunchbase.com/organization/innvo-digital,Pre Seed Round - Innvo Labs,https://www.crunchbase.com/funding_round/innvo-digital-pre-seed--dff4dcf2,150000.0,USD,150000.0,Pre-Seed,"Consulting, Information Technology, Product Design",2024-03-26,Darwin Startups,Darwin Startups,Seed,50000.0,USD,50000.0,3000000.0,USD,3000000.0,Yes,Innvo Labs' focus and competence help organizations in the digital age.,,innvo.xyz,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America",2024,innvolabs,,,,Nao tivemos acesso,Zero,,Indefinido,127
112,Visio.ai,https://www.crunchbase.com/organization/visio-ai,Seed Round - Visio.ai,https://www.crunchbase.com/funding_round/visio-ai-seed--7a43f9a7,2500000.0,USD,2500000.0,Seed,"Artificial Intelligence (AI), Information Technology, Internet",2024-03-19,DGF Investimentos,"Alexia Ventures, DGF Investimentos, Scale-Up Ventures",Seed,2500000.0,USD,2500000.0,,,,Yes,Visio.ai is a AI platform that uses computer vision and artificial intelligence help brick-and-mortar improve operations,,visio.ai,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,visio.ai,23703.0,visio.ai,visio.ai,Opportunity,Opportunity,,Dúvida,134
116,trampay,https://www.crunchbase.com/organization/trampay,Pre Seed Round - trampay,https://www.crunchbase.com/funding_round/trampay-pre-seed--541ad793,250000.0,USD,250000.0,Pre-Seed,"Employee Benefits, Financial Services, FinTech",2024-03-08,Potencia Ventures,Potencia Ventures,Seed,250000.0,USD,250000.0,,,,Yes,Trampay is a social impact fintech that provides solutions for companies for the welfare of workers and employee benefits and savings.,,trampay.com,Less than $1M,Seed,3,"Brasília, Rio Grande do Norte, Brazil, South America",2024,trampay,21698.0,trampay,trampay.com,Discard,Discard,,Indefinido,145
